target,person,occurrence,audio,subid,trial,leftpic,rightpic,correct,subject
K1,parent,2,09_32.mp3,9,32,B1,K1,Y,93
A1,child,2,11_31.mp3,11,31,K1,A1,Y,94
A1,parent,1,55_05.mp3,55,5,A1,D1,Y,94
B1,child,2,09_39.mp3,9,39,B1,I1,Y,94
D1,parent,1,36_07.mp3,36,7,E1,D1,Y,94
G1,parent,1,73_09.mp3,73,9,C1,G1,Y,94
G1,parent,2,64_38.mp3,64,38,C1,G1,Y,94
H1,child,2,65_33.mp3,65,33,D1,H1,Y,94
H1,parent,1,07_03.mp3,7,3,H1,E1,Y,94
H1,parent,2,30_34.mp3,30,34,H1,E1,Y,94
K1,child,1,09_10.mp3,9,10,D1,K1,Y,94
A1,parent,1,75_07.mp3,75,7,K1,A1,Y,95
A1,parent,2,30_40.mp3,30,40,A1,K1,Y,95
D1,child,1,69_02.mp3,69,2,K1,D1,Y,95
F1,child,2,36_33.mp3,36,33,F1,K1,Y,95
H1,child,2,31_39.mp3,31,39,H1,E1,Y,95
I1,child,1,43_10.mp3,43,10,I1,C1,Y,95
I1,parent,2,48_36.mp3,48,36,C1,I1,Y,95
K1,child,1,30_06.mp3,30,6,D1,K1,Y,95
K1,parent,1,50_01.mp3,50,1,B1,K1,Y,95
K1,parent,2,47_32.mp3,47,32,K1,B1,Y,95
A1,parent,1,43_03.mp3,43,3,A1,K1,Y,96
B1,parent,1,39_03.mp3,39,3,B1,D1,Y,96
B1,parent,2,64_36.mp3,64,36,I1,B1,Y,96
C1,child,1,73_04.mp3,73,4,C1,H1,Y,96
C1,parent,2,47_36.mp3,47,36,C1,I1,Y,96
D1,parent,2,32_38.mp3,32,38,D1,E1,Y,96
F1,child,1,42_04.mp3,42,4,F1,B1,Y,96
F1,child,2,64_33.mp3,64,33,C1,F1,Y,96
G1,child,2,37_33.mp3,37,33,G1,K1,Y,96
I1,child,1,17_06.mp3,17,6,I1,C1,Y,96
A1,parent,1,72_05.mp3,72,5,A1,K1,Y,97
B1,parent,2,07_40.mp3,7,40,B1,C1,Y,97
C1,child,2,60_33.mp3,60,33,E1,C1,Y,97
C1,parent,2,52_38.mp3,52,38,H1,C1,Y,97
E1,child,1,15_06.mp3,15,6,E1,B1,N,97
F1,parent,2,61_34.mp3,61,34,F1,B1,Y,97
G1,child,1,53_08.mp3,53,8,G1,E1,Y,97
H1,parent,1,18_09.mp3,18,9,H1,E1,Y,97
K1,child,1,34_10.mp3,34,10,K1,A1,Y,97
K1,parent,2,21_38.mp3,21,38,K1,B1,Y,97
A1,parent,2,40_34.mp3,40,34,I1,A1,Y,98
B1,parent,2,54_32.mp3,54,32,C1,B1,Y,98
D1,child,1,70_06.mp3,70,6,D1,H1,Y,98
D1,parent,1,62_01.mp3,62,1,D1,F1,Y,98
D1,parent,2,67_38.mp3,67,38,D1,H1,N,98
F1,parent,1,52_09.mp3,52,9,B1,F1,Y,98
F1,parent,2,62_38.mp3,62,38,F1,G1,Y,98
H1,child,1,61_10.mp3,61,10,H1,C1,Y,98
H1,child,2,20_31.mp3,20,31,C1,H1,Y,98
I1,parent,1,16_07.mp3,16,7,I1,E1,Y,98
A1,child,1,54_04.mp3,54,4,I1,A1,Y,99
A1,parent,2,66_36.mp3,66,36,A1,K1,Y,99
B1,child,1,14_04.mp3,14,4,B1,D1,Y,99
C1,child,2,42_35.mp3,42,35,C1,E1,Y,99
C1,parent,2,70_38.mp3,70,38,H1,C1,Y,99
E1,parent,1,16_01.mp3,16,1,H1,E1,Y,99
F1,child,2,57_39.mp3,57,39,C1,F1,Y,99
G1,parent,2,62_34.mp3,62,34,G1,E1,Y,99
I1,child,1,09_04.mp3,9,4,I1,A1,Y,99
K1,child,1,65_10.mp3,65,10,K1,B1,Y,99
A1,parent,1,33_09.mp3,33,9,K1,A1,Y,100
C1,child,1,51_02.mp3,51,2,I1,C1,Y,100
C1,child,2,12_31.mp3,12,31,H1,C1,Y,100
E1,parent,2,11_32.mp3,11,32,E1,I1,Y,100
F1,child,2,50_37.mp3,50,37,K1,F1,Y,100
G1,parent,2,12_40.mp3,12,40,E1,G1,Y,100
I1,child,1,64_08.mp3,64,8,E1,I1,Y,100
I1,parent,1,71_07.mp3,71,7,A1,I1,Y,100
I1,parent,2,61_40.mp3,61,40,I1,A1,Y,100
K1,parent,1,69_05.mp3,69,5,K1,A1,Y,100
C1,parent,1,59_03.mp3,59,3,C1,A1,Y,101
D1,child,2,36_37.mp3,36,37,D1,K1,Y,101
D1,parent,1,75_03.mp3,75,3,D1,E1,Y,101
E1,child,2,32_33.mp3,32,33,E1,B1,Y,101
E1,parent,2,57_34.mp3,57,34,E1,A1,Y,101
F1,child,2,43_31.mp3,43,31,F1,K1,Y,101
F1,parent,1,26_03.mp3,26,3,B1,F1,Y,101
H1,child,2,12_33.mp3,12,33,D1,H1,Y,101
K1,child,1,37_08.mp3,37,8,F1,K1,Y,101
K1,parent,1,56_07.mp3,56,7,D1,K1,Y,101
A1,child,1,16_06.mp3,16,6,A1,K1,Y,102
A1,parent,1,11_09.mp3,11,9,A1,H1,Y,102
B1,parent,2,12_36.mp3,12,36,C1,B1,Y,102
C1,child,1,39_04.mp3,39,4,C1,A1,Y,102
D1,child,1,65_02.mp3,65,2,E1,D1,Y,102
D1,child,2,10_35.mp3,10,35,D1,H1,Y,102
G1,parent,1,31_01.mp3,31,1,C1,G1,N,102
H1,child,2,54_39.mp3,54,39,C1,H1,Y,102
I1,child,2,46_35.mp3,46,35,I1,E1,Y,102
K1,parent,2,18_34.mp3,18,34,K1,B1,Y,102
A1,parent,2,51_38.mp3,51,38,I1,A1,Y,103
B1,child,1,57_10.mp3,57,10,C1,B1,Y,103
B1,parent,1,51_05.mp3,51,5,B1,K1,Y,103
B1,parent,2,43_36.mp3,43,36,B1,K1,Y,103
D1,child,1,42_06.mp3,42,6,D1,E1,Y,103
D1,parent,1,49_07.mp3,49,7,F1,D1,Y,103
E1,child,2,16_31.mp3,16,31,E1,B1,Y,103
H1,child,1,70_08.mp3,70,8,C1,H1,Y,103
H1,child,2,55_33.mp3,55,33,H1,D1,Y,103
I1,parent,2,10_40.mp3,10,40,C1,I1,Y,103
B1,child,2,16_39.mp3,16,39,B1,C1,Y,104
C1,child,1,47_10.mp3,47,10,H1,C1,Y,104
C1,parent,1,32_09.mp3,32,9,C1,I1,Y,104
D1,parent,1,40_03.mp3,40,3,D1,E1,Y,104
F1,parent,2,35_40.mp3,35,40,C1,F1,Y,104
G1,parent,2,57_36.mp3,57,36,D1,G1,Y,104
H1,child,2,68_39.mp3,68,39,D1,H1,Y,104
H1,parent,1,43_01.mp3,43,1,C1,H1,Y,104
I1,child,1,57_06.mp3,57,6,A1,I1,Y,104
I1,child,2,37_39.mp3,37,39,I1,A1,Y,104
A1,child,1,51_04.mp3,51,4,K1,A1,Y,105
A1,parent,2,28_40.mp3,28,40,A1,I1,Y,105
C1,parent,2,20_40.mp3,20,40,A1,C1,Y,105
D1,child,2,12_39.mp3,12,39,H1,D1,Y,105
F1,parent,1,30_09.mp3,30,9,C1,F1,N,105
G1,parent,1,55_01.mp3,55,1,D1,G1,Y,105
H1,parent,1,66_03.mp3,66,3,H1,E1,Y,105
I1,child,2,04_39.mp3,4,39,I1,A1,Y,105
K1,child,1,38_04.mp3,38,4,D1,K1,Y,105
K1,child,2,46_33.mp3,46,33,K1,B1,Y,105
A1,child,1,57_08.mp3,57,8,I1,A1,Y,106
A1,child,2,43_33.mp3,43,33,H1,A1,Y,106
B1,parent,2,32_32.mp3,32,32,B1,I1,Y,106
C1,child,1,38_08.mp3,38,8,C1,E1,Y,106
D1,parent,2,55_38.mp3,55,38,D1,H1,Y,106
E1,parent,1,47_03.mp3,47,3,E1,H1,N,106
H1,parent,1,15_01.mp3,15,1,C1,H1,Y,106
I1,child,2,32_39.mp3,32,39,A1,I1,Y,106
I1,parent,2,55_36.mp3,55,36,C1,I1,Y,106
K1,parent,1,73_01.mp3,73,1,B1,K1,Y,106
A1,child,1,50_04.mp3,50,4,I1,A1,Y,107
A1,parent,1,69_03.mp3,69,3,H1,A1,Y,107
B1,child,1,33_04.mp3,33,4,B1,D1,Y,107
C1,child,1,16_10.mp3,16,10,C1,E1,N,107
C1,child,2,17_37.mp3,17,37,C1,H1,N,107
D1,parent,1,27_09.mp3,27,9,D1,H1,Y,107
D1,parent,2,34_40.mp3,34,40,K1,D1,Y,107
H1,child,2,28_33.mp3,28,33,E1,H1,N,107
H1,parent,2,34_34.mp3,34,34,H1,E1,Y,107
I1,child,2,21_39.mp3,21,39,A1,I1,Y,107
A1,child,1,59_04.mp3,59,4,A1,K1,Y,108
B1,parent,1,70_03.mp3,70,3,B1,D1,Y,108
C1,parent,2,56_40.mp3,56,40,H1,C1,Y,108
D1,child,2,43_39.mp3,43,39,D1,E1,Y,108
E1,parent,1,28_05.mp3,28,5,E1,I1,Y,108
E1,parent,2,12_32.mp3,12,32,H1,E1,Y,108
G1,parent,1,15_03.mp3,15,3,D1,G1,Y,108
I1,parent,2,28_32.mp3,28,32,C1,I1,Y,108
K1,parent,1,10_05.mp3,10,5,D1,K1,Y,108
