subid,trial,target,leftpic,rightpic,chosenside,chosenpic,correct,date,time,rt
2,38,B1,B1,C1,L,B1,Y,11/5/2018,15:39,15395
2,39,D1,D1,E1,L,D1,Y,11/5/2018,15:39,3667
3,0,apple,apple,banana,L,apple,Y,11/12/2018,15:14:03,7944
3,1,artichoke,onion,artichoke,L,onion,N,11/12/2018,15:13:58,27554
3,2,onion,onion,artichoke,L,onion,Y,11/12/2018,15:14:03,6178
3,3,apple,apple,banana,L,apple,Y,11/12/2018,15:13:58,4409
3,4,artichoke,onion,artichoke,R,artichoke,Y,11/12/2018,15:14:03,7412
3,5,onion,onion,artichoke,L,onion,Y,11/12/2018,15:13:58,4686
3,0,H1,A1,H1,R,H1,Y,11/12/2018,15:14:03,27184
3,1,K1,D1,K1,R,K1,Y,11/12/2018,15:13:58,7665
3,2,B1,C1,B1,R,B1,Y,11/12/2018,15:14:03,6409
3,3,F1,F1,B1,L,F1,Y,11/12/2018,15:13:58,12552
3,4,C1,I1,C1,R,C1,Y,11/12/2018,15:14:03,8300
3,5,D1,E1,D1,R,D1,Y,11/12/2018,15:13:58,7056
3,6,G1,G1,C1,L,G1,Y,11/12/2018,15:14:03,7779
3,7,E1,E1,B1,L,E1,Y,11/12/2018,15:13:58,10094
3,8,I1,B1,I1,R,I1,Y,11/12/2018,15:14:03,11097
3,9,A1,K1,A1,L,K1,N,11/12/2018,15:13:58,10508
3,10,I1,I1,A1,L,I1,Y,11/12/2018,15:13:58,13086
3,11,K1,K1,F1,L,K1,Y,11/12/2018,15:14:03,8352
3,12,G1,E1,G1,R,G1,Y,11/12/2018,15:13:58,6883
3,13,E1,I1,E1,R,E1,Y,11/12/2018,15:14:03,7308
3,14,H1,D1,H1,R,H1,Y,11/12/2018,15:13:58,8794
3,15,D1,D1,K1,L,D1,Y,11/12/2018,15:14:03,10867
3,16,B1,D1,B1,R,B1,Y,11/12/2018,15:13:58,5453
3,17,F1,G1,F1,L,G1,N,11/12/2018,15:14:03,9816
3,18,C1,C1,H1,L,C1,Y,11/12/2018,15:13:58,11760
3,19,A1,A1,H1,L,A1,Y,11/12/2018,15:14:03,12526
3,20,G1,K1,G1,R,G1,Y,11/12/2018,15:14:03,9455
3,21,F1,F1,C1,L,F1,Y,11/12/2018,15:13:58,8241
3,22,C1,A1,C1,R,C1,Y,11/12/2018,15:14:03,6115
3,23,D1,F1,D1,R,D1,Y,11/12/2018,15:13:58,7027
3,24,B1,K1,B1,R,B1,Y,11/12/2018,15:14:03,4142
3,25,K1,K1,A1,L,K1,Y,11/12/2018,15:13:58,5417
3,26,H1,H1,C1,L,H1,Y,11/12/2018,15:14:03,5500
3,0,apple,apple,banana,L,apple,Y,11/12/2018,15:25:08,7454
3,1,artichoke,artichoke,onion,R,onion,N,11/12/2018,15:24:55,10926
3,2,onion,artichoke,onion,R,onion,Y,11/12/2018,15:25:08,2068
3,3,apple,banana,apple,R,apple,Y,11/12/2018,15:24:55,3274
3,4,artichoke,onion,artichoke,R,artichoke,Y,11/12/2018,15:25:08,5363
